timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:00:00Z,54.54,10.0,1.26,0.8,0.16,353
2026-06-01T00:00:30Z,49.06,29.2,0.0,0.71,0.04,355
2026-06-01T00:01:00Z,47.51,29.5,0.0,0.23,0.05,346
2026-06-01T00:01:30Z,85.3,10.0,0.0,0.17,0.26,369
2026-06-01T00:02:00Z,69.42,23.2,0.51,0.48,0.22,361
2026-06-01T00:02:30Z,64.82,18.3,0.0,0.37,0.27,350
2026-06-01T00:03:00Z,66.28,24.4,0.26,0.15,0.03,347
2026-06-01T00:03:30Z,67.7,39.7,0.0,0.17,0.13,377
2026-06-01T00:04:00Z,54.71,40.3,0.0,0.22,0.02,354
2026-06-01T00:04:30Z,51.42,15.7,0.04,0.62,0.08,356
2026-06-01T00:05:00Z,58.91,34.5,0.0,0.58,0.2,358
2026-06-01T00:05:30Z,63.0,31.5,0.34,0.49,0.07,314
2026-06-01T00:06:00Z,57.05,10.0,0.0,0.66,0.24,364
2026-06-01T00:06:30Z,67.5,30.6,0.77,0.12,0.01,357
2026-06-01T00:07:00Z,66.9,28.7,0.0,0.02,0.23,349
2026-06-01T00:07:30Z,60.46,35.1,0.11,0.17,0.27,322
2026-06-01T00:08:00Z,58.97,20.7,0.14,0.52,0.29,357
2026-06-01T00:08:30Z,73.31,13.2,1.14,0.57,0.08,363
2026-06-01T00:09:00Z,67.39,37.2,0.74,0.34,0.29,355
2026-06-01T00:09:30Z,62.87,24.6,1.5,0.19,0.08,351
2026-06-01T00:10:00Z,71.66,10.0,1.09,0.4,0.09,345
2026-06-01T00:10:30Z,57.06,33.8,0.0,0.06,0.21,386
2026-06-01T00:11:00Z,56.83,21.4,0.0,0.13,0.16,370
2026-06-01T00:11:30Z,68.76,10.0,0.48,0.04,0.14,367
2026-06-01T00:12:00Z,53.83,27.6,1.34,0.57,0.1,350
2026-06-01T00:12:30Z,56.19,10.0,0.0,0.19,0.17,379
2026-06-01T00:13:00Z,69.17,31.0,0.0,0.54,0.12,355
2026-06-01T00:13:30Z,69.05,15.2,1.47,0.1,0.26,370
2026-06-01T00:14:00Z,53.01,25.6,0.0,0.69,0.17,331
2026-06-01T00:14:30Z,49.33,10.0,1.02,0.23,0.07,340
2026-06-01T00:15:00Z,54.27,11.7,0.5,0.38,0.04,347
2026-06-01T00:15:30Z,60.97,19.6,0.0,0.02,0.26,317
2026-06-01T00:16:00Z,44.03,15.7,0.0,0.5,0.28,349
2026-06-01T00:16:30Z,62.82,10.0,0.47,0.12,0.26,336
2026-06-01T00:17:00Z,59.44,42.5,0.0,0.13,0.08,341
2026-06-01T00:17:30Z,57.68,32.6,1.07,0.6,0.02,374
2026-06-01T00:18:00Z,63.33,30.3,0.0,0.22,0.1,353
2026-06-01T00:18:30Z,71.05,10.0,0.0,0.34,0.07,367
2026-06-01T00:19:00Z,62.48,28.7,1.08,0.58,0.14,361
2026-06-01T00:19:30Z,72.33,13.1,0.38,0.1,0.05,331
2026-06-01T00:20:00Z,51.59,26.2,0.0,0.42,0.23,373
2026-06-01T00:20:30Z,57.96,27.5,0.48,0.18,0.29,344
