timestamp,memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count
2026-06-01T00:00:00Z,426047268,2147483648,26.59,38.18,39.7,1.78,32.2,0
2026-06-01T00:00:30Z,402781115,2147483648,26.15,42.27,50.6,0.0,36.5,0
2026-06-01T00:01:00Z,408265869,2147483648,22.09,46.06,44.9,0.92,58.8,0
2026-06-01T00:01:30Z,338915261,2147483648,10.61,39.45,47.9,0.0,13.0,0
2026-06-01T00:02:00Z,488996520,2147483648,15.56,42.13,32.5,1.22,46.8,0
2026-06-01T00:02:30Z,467688203,2147483648,24.2,36.43,50.1,0.0,73.4,0
2026-06-01T00:03:00Z,417882606,2147483648,21.69,36.72,54.9,1.13,9.0,0
2026-06-01T00:03:30Z,457978898,2147483648,14.74,42.1,46.7,0.54,36.3,0
2026-06-01T00:04:00Z,442353445,2147483648,20.82,42.91,41.3,0.0,27.8,0
2026-06-01T00:04:30Z,414733713,2147483648,28.59,40.81,30.0,0.83,47.3,0
2026-06-01T00:05:00Z,469928747,2147483648,20.77,43.57,102.7,0.25,22.7,0
2026-06-01T00:05:30Z,426429621,2147483648,23.27,35.69,85.1,0.75,55.2,0
2026-06-01T00:06:00Z,427363231,2147483648,16.37,31.53,30.8,0.46,48.2,0
2026-06-01T00:06:30Z,412706575,2147483648,26.76,31.56,82.3,0.95,47.5,0
2026-06-01T00:07:00Z,457900494,2147483648,22.05,40.49,30.0,0.0,30.9,0
2026-06-01T00:07:30Z,440034827,2147483648,27.82,30.04,62.9,0.0,61.9,0
2026-06-01T00:08:00Z,464105161,2147483648,36.08,41.93,31.7,0.0,80.8,0
2026-06-01T00:08:30Z,425264316,2147483648,5.86,39.98,43.5,0.0,1.0,0
2026-06-01T00:09:00Z,452431987,2147483648,15.48,43.16,78.6,1.27,64.2,0
2026-06-01T00:09:30Z,418221041,2147483648,20.82,35.28,41.5,0.0,21.1,0
2026-06-01T00:10:00Z,480338954,2147483648,13.73,34.06,60.0,2.0,49.2,0
2026-06-01T00:10:30Z,458884395,2147483648,26.37,41.82,30.0,0.0,54.1,0
2026-06-01T00:11:00Z,465266110,2147483648,21.12,34.62,63.5,0.42,64.5,0
2026-06-01T00:11:30Z,469433236,2147483648,35.59,37.46,69.3,0.43,69.1,0
2026-06-01T00:12:00Z,421034138,2147483648,25.28,38.99,111.1,0.01,8.9,0
2026-06-01T00:12:30Z,485141692,2147483648,22.24,37.78,63.4,1.26,41.5,0
2026-06-01T00:13:00Z,531008414,2147483648,15.13,39.35,30.0,2.0,33.4,0
2026-06-01T00:13:30Z,402944650,2147483648,26.28,40.18,45.7,2.0,20.5,0
2026-06-01T00:14:00Z,400999056,2147483648,25.21,36.98,32.4,0.27,45.2,0
2026-06-01T00:14:30Z,410068825,2147483648,30.53,38.56,30.0,2.0,54.3,0
2026-06-01T00:15:00Z,493368773,2147483648,23.16,40.67,67.2,2.0,29.9,0
2026-06-01T00:15:30Z,469572057,2147483648,31.3,29.19,30.0,0.0,50.3,0
2026-06-01T00:16:00Z,503927015,2147483648,26.15,43.94,30.0,0.96,38.3,0
2026-06-01T00:16:30Z,492556087,2147483648,22.22,39.69,62.4,0.0,55.8,0
2026-06-01T00:17:00Z,475694209,2147483648,15.79,34.18,30.0,1.58,67.9,0
2026-06-01T00:17:30Z,479285211,2147483648,25.44,37.0,45.5,1.55,47.9,0
2026-06-01T00:18:00Z,464387730,2147483648,30.81,42.69,42.0,2.0,28.0,0
2026-06-01T00:18:30Z,501676043,2147483648,13.85,37.09,53.3,0.81,27.3,0
2026-06-01T00:19:00Z,432654931,2147483648,10.5,39.16,61.3,0.0,53.3,0
2026-06-01T00:19:30Z,458308821,2147483648,19.25,42.21,55.1,1.26,35.2,0
2026-06-01T00:20:00Z,482418867,2147483648,23.45,43.73,30.0,0.0,34.8,0
2026-06-01T00:20:30Z,537770522,2147483648,7.21,37.84,41.7,2.0,38.6,0
2026-06-01T00:21:00Z,448731439,2147483648,26.4,38.08,32.9,1.22,44.6,0
2026-06-01T00:21:30Z,438449039,2147483648,26.21,35.52,31.2,0.0,73.6,0
2026-06-01T00:22:00Z,457190658,2147483648,13.5,37.37,50.6,0.56,37.2,0
2026-06-01T00:22:30Z,511480401,2147483648,25.05,41.7,47.0,2.0,35.5,0
2026-06-01T00:23:00Z,469941009,2147483648,24.46,39.71,55.0,0.0,1.0,0
2026-06-01T00:23:30Z,525088420,2147483648,18.29,34.67,41.1,0.65,48.7,0
2026-06-01T00:24:00Z,413727169,2147483648,24.21,42.05,30.0,0.0,20.0,0
2026-06-01T00:24:30Z,519252431,2147483648,18.54,35.23,77.9,0.0,54.0,0
2026-06-01T00:25:00Z,516421516,2147483648,18.05,34.51,55.0,1.18,66.2,0
2026-06-01T00:25:30Z,430953326,2147483648,27.05,34.97,59.2,0.65,11.4,0
2026-06-01T00:26:00Z,486345491,2147483648,27.39,30.96,30.0,0.0,69.6,0
2026-06-01T00:26:30Z,523842967,2147483648,14.98,44.86,30.0,0.51,67.8,0
2026-06-01T00:27:00Z,484647543,2147483648,31.74,27.86,46.8,0.0,73.4,0
2026-06-01T00:27:30Z,516796266,2147483648,20.92,37.36,34.7,2.0,23.1,0
2026-06-01T00:28:00Z,565121349,2147483648,11.79,39.32,71.5,0.0,98.0,0
2026-06-01T00:28:30Z,491738644,2147483648,14.38,31.73,76.8,1.16,53.1,0
2026-06-01T00:29:00Z,472445356,2147483648,11.5,41.97,58.0,2.0,43.7,0
2026-06-01T00:29:30Z,455336575,2147483648,26.16,42.62,48.5,0.0,26.4,0
2026-06-01T00:30:00Z,505027221,2147483648,17.94,41.39,34.9,0.5,48.4,0
