timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,22.16,20.0,0.59,0.54
2026-06-01T00:00:30Z,21.01,46.7,0.57,0.05
2026-06-01T00:01:00Z,27.26,23.7,0.64,0.28
2026-06-01T00:01:30Z,18.27,41.7,0.43,0.51
2026-06-01T00:02:00Z,27.1,38.3,0.42,0.82
2026-06-01T00:02:30Z,24.05,57.9,0.53,0.9
2026-06-01T00:03:00Z,27.31,45.1,0.78,0.2
2026-06-01T00:03:30Z,21.07,61.5,0.46,0.03
2026-06-01T00:04:00Z,24.38,58.6,0.02,0.85
2026-06-01T00:04:30Z,21.08,47.6,0.69,0.5
2026-06-01T00:05:00Z,25.48,47.7,0.37,0.37
2026-06-01T00:05:30Z,20.56,38.0,0.54,0.68
2026-06-01T00:06:00Z,19.86,20.0,0.42,0.84
2026-06-01T00:06:30Z,14.41,63.1,0.26,0.31
2026-06-01T00:07:00Z,17.19,20.0,0.57,0.57
2026-06-01T00:07:30Z,15.07,21.4,0.28,0.07
2026-06-01T00:08:00Z,30.65,64.9,0.37,0.34
2026-06-01T00:08:30Z,16.71,20.0,0.24,0.79
2026-06-01T00:09:00Z,20.69,42.8,0.05,0.32
2026-06-01T00:09:30Z,23.83,29.5,0.39,0.65
2026-06-01T00:10:00Z,23.51,37.0,0.74,0.62
2026-06-01T00:10:30Z,24.71,24.2,0.21,0.78
2026-06-01T00:11:00Z,25.45,63.6,0.05,0.67
2026-06-01T00:11:30Z,16.46,60.3,0.63,0.92
2026-06-01T00:12:00Z,20.22,54.2,0.64,0.6
2026-06-01T00:12:30Z,22.27,48.4,0.4,0.07
2026-06-01T00:13:00Z,25.61,20.0,0.03,0.36
2026-06-01T00:13:30Z,21.9,28.3,0.35,0.78
2026-06-01T00:14:00Z,25.43,42.3,0.07,0.3
2026-06-01T00:14:30Z,21.69,32.1,0.78,0.47
2026-06-01T00:15:00Z,18.02,23.4,0.73,0.46
2026-06-01T00:15:30Z,22.47,55.3,0.57,0.8
2026-06-01T00:16:00Z,24.49,76.3,0.26,0.34
2026-06-01T00:16:30Z,13.5,20.0,0.73,0.73
2026-06-01T00:17:00Z,28.05,81.0,0.22,0.25
2026-06-01T00:17:30Z,26.56,33.1,0.7,0.17
2026-06-01T00:18:00Z,24.31,21.3,0.79,0.79
2026-06-01T00:18:30Z,25.26,36.7,0.72,0.09
2026-06-01T00:19:00Z,26.25,20.0,0.76,0.99
2026-06-01T00:19:30Z,20.61,57.0,0.12,0.12
2026-06-01T00:20:00Z,25.56,20.0,0.08,0.17
2026-06-01T00:20:30Z,20.85,27.9,0.31,0.2
2026-06-01T00:21:00Z,23.96,43.5,0.07,0.69
2026-06-01T00:21:30Z,20.15,28.0,0.3,0.84
2026-06-01T00:22:00Z,26.09,58.3,0.06,0.77
2026-06-01T00:22:30Z,30.54,20.0,0.59,0.78
2026-06-01T00:23:00Z,24.0,20.0,0.01,0.41
2026-06-01T00:23:30Z,25.26,47.0,0.44,0.92
2026-06-01T00:24:00Z,17.35,26.9,0.26,0.25
2026-06-01T00:24:30Z,24.79,21.8,0.1,0.71
2026-06-01T00:25:00Z,24.9,61.4,0.14,0.43
2026-06-01T00:25:30Z,23.12,23.6,0.29,0.74
2026-06-01T00:26:00Z,23.8,20.4,0.23,0.81
2026-06-01T00:26:30Z,26.15,49.5,0.01,0.58
2026-06-01T00:27:00Z,21.67,46.8,0.75,0.88
2026-06-01T00:27:30Z,25.71,45.5,0.28,0.29
2026-06-01T00:28:00Z,23.83,20.0,0.48,0.47
2026-06-01T00:28:30Z,19.35,27.5,0.3,0.59
2026-06-01T00:29:00Z,21.05,43.4,0.37,0.77
2026-06-01T00:29:30Z,19.96,54.8,0.15,0.06
2026-06-01T00:30:00Z,25.85,45.9,0.25,0.97
2026-06-01T00:30:30Z,21.69,28.4,0.35,0.4
2026-06-01T00:31:00Z,24.93,48.1,0.34,0.3
2026-06-01T00:31:30Z,25.84,20.0,0.22,0.56
2026-06-01T00:32:00Z,24.91,20.0,0.32,0.07
2026-06-01T00:32:30Z,24.66,20.0,0.1,0.78
