timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,19.67,68.2,0.3,0.16
2026-06-01T00:00:30Z,13.16,64.6,0.12,0.36
2026-06-01T00:01:00Z,12.6,67.6,0.1,0.35
2026-06-01T00:01:30Z,17.02,40.0,0.02,0.33
2026-06-01T00:02:00Z,17.04,45.4,0.28,0.37
2026-06-01T00:02:30Z,18.08,86.2,0.24,0.23
2026-06-01T00:03:00Z,15.84,77.6,0.27,0.09
2026-06-01T00:03:30Z,16.18,59.7,0.21,0.11
2026-06-01T00:04:00Z,15.36,77.4,0.39,0.24
2026-06-01T00:04:30Z,15.15,76.1,0.09,0.02
2026-06-01T00:05:00Z,16.9,40.0,0.23,0.08
2026-06-01T00:05:30Z,15.75,57.9,0.39,0.26
2026-06-01T00:06:00Z,18.19,54.0,0.12,0.31
2026-06-01T00:06:30Z,16.96,81.0,0.3,0.48
2026-06-01T00:07:00Z,14.81,52.6,0.03,0.4
2026-06-01T00:07:30Z,16.05,49.1,0.22,0.27
2026-06-01T00:08:00Z,15.14,65.4,0.25,0.46
2026-06-01T00:08:30Z,15.48,62.0,0.31,0.3
2026-06-01T00:09:00Z,15.79,57.5,0.36,0.03
2026-06-01T00:09:30Z,14.65,70.8,0.03,0.38
2026-06-01T00:10:00Z,17.32,55.9,0.2,0.26
2026-06-01T00:10:30Z,14.0,53.4,0.22,0.28
2026-06-01T00:11:00Z,11.24,87.3,0.02,0.01
2026-06-01T00:11:30Z,16.52,65.6,0.23,0.36
2026-06-01T00:12:00Z,14.19,40.0,0.02,0.07
2026-06-01T00:12:30Z,13.1,48.0,0.21,0.49
2026-06-01T00:13:00Z,13.61,77.0,0.27,0.33
2026-06-01T00:13:30Z,14.77,49.6,0.12,0.04
2026-06-01T00:14:00Z,16.94,65.2,0.36,0.15
2026-06-01T00:14:30Z,14.16,47.8,0.24,0.43
2026-06-01T00:15:00Z,15.66,60.2,0.16,0.41
2026-06-01T00:15:30Z,16.39,90.9,0.2,0.46
2026-06-01T00:16:00Z,16.93,56.7,0.4,0.15
2026-06-01T00:16:30Z,14.21,52.6,0.29,0.38
2026-06-01T00:17:00Z,15.39,76.6,0.25,0.3
2026-06-01T00:17:30Z,16.33,62.3,0.29,0.31
2026-06-01T00:18:00Z,14.35,67.1,0.26,0.06
2026-06-01T00:18:30Z,13.7,88.3,0.06,0.5
2026-06-01T00:19:00Z,15.97,71.3,0.08,0.04
2026-06-01T00:19:30Z,16.24,58.6,0.0,0.49
2026-06-01T00:20:00Z,17.74,59.1,0.03,0.46
2026-06-01T00:20:30Z,14.12,44.0,0.33,0.47
2026-06-01T00:21:00Z,19.1,64.3,0.0,0.34
2026-06-01T00:21:30Z,15.02,63.8,0.06,0.36
2026-06-01T00:22:00Z,14.82,53.0,0.39,0.46
2026-06-01T00:22:30Z,17.55,63.4,0.2,0.41
2026-06-01T00:23:00Z,14.05,63.7,0.37,0.04
2026-06-01T00:23:30Z,16.89,54.8,0.32,0.13
2026-06-01T00:24:00Z,17.01,50.6,0.22,0.14
2026-06-01T00:24:30Z,14.16,42.7,0.21,0.45
2026-06-01T00:25:00Z,14.21,89.5,0.13,0.16
2026-06-01T00:25:30Z,14.94,56.7,0.31,0.13
2026-06-01T00:26:00Z,14.08,63.4,0.35,0.5
2026-06-01T00:26:30Z,13.37,41.4,0.31,0.15
2026-06-01T00:27:00Z,17.57,40.0,0.27,0.12
2026-06-01T00:27:30Z,15.6,83.6,0.35,0.16
2026-06-01T00:28:00Z,15.61,79.0,0.14,0.11
2026-06-01T00:28:30Z,14.04,62.8,0.34,0.1
2026-06-01T00:29:00Z,15.01,59.5,0.37,0.06
2026-06-01T00:29:30Z,15.87,82.6,0.08,0.44
2026-06-01T00:30:00Z,15.51,75.6,0.29,0.21
2026-06-01T00:30:30Z,14.17,75.2,0.12,0.13
2026-06-01T00:31:00Z,18.23,77.4,0.15,0.17
2026-06-01T00:31:30Z,13.79,40.0,0.06,0.03
2026-06-01T00:32:00Z,11.33,66.8,0.33,0.46
2026-06-01T00:32:30Z,11.49,81.7,0.14,0.46
2026-06-01T00:33:00Z,13.16,63.5,0.35,0.03
2026-06-01T00:33:30Z,14.49,44.7,0.33,0.32
2026-06-01T00:34:00Z,14.41,89.7,0.01,0.34
2026-06-01T00:34:30Z,16.32,79.5,0.24,0.21
2026-06-01T00:35:00Z,11.31,40.0,0.36,0.17
2026-06-01T00:35:30Z,12.26,84.8,0.31,0.03
2026-06-01T00:36:00Z,17.21,53.3,0.37,0.25
2026-06-01T00:36:30Z,14.51,50.3,0.25,0.08
2026-06-01T00:37:00Z,11.65,67.7,0.16,0.42
2026-06-01T00:37:30Z,13.33,73.6,0.04,0.01
2026-06-01T00:38:00Z,14.56,40.0,0.19,0.0
2026-06-01T00:38:30Z,13.7,40.0,0.16,0.0
2026-06-01T00:39:00Z,12.38,40.0,0.35,0.21
2026-06-01T00:39:30Z,10.23,40.0,0.15,0.4
2026-06-01T00:40:00Z,15.35,59.4,0.37,0.22
2026-06-01T00:40:30Z,18.4,59.0,0.09,0.13
2026-06-01T00:41:00Z,14.31,85.6,0.28,0.44
2026-06-01T00:41:30Z,13.48,70.5,0.24,0.28
2026-06-01T00:42:00Z,13.44,58.6,0.0,0.01
2026-06-01T00:42:30Z,20.29,79.4,0.28,0.09
2026-06-01T00:43:00Z,11.61,60.5,0.32,0.48
2026-06-01T00:43:30Z,13.49,71.7,0.29,0.18
2026-06-01T00:44:00Z,15.07,64.3,0.24,0.0
2026-06-01T00:44:30Z,13.23,40.0,0.24,0.2
2026-06-01T00:45:00Z,14.18,64.6,0.2,0.35
2026-06-01T00:45:30Z,9.22,61.2,0.27,0.07
2026-06-01T00:46:00Z,14.88,77.5,0.39,0.03
2026-06-01T00:46:30Z,13.26,89.1,0.24,0.46
2026-06-01T00:47:00Z,19.51,76.9,0.22,0.16
2026-06-01T00:47:30Z,12.66,40.0,0.3,0.39
2026-06-01T00:48:00Z,16.59,52.7,0.07,0.07
2026-06-01T00:48:30Z,9.78,40.0,0.11,0.26
2026-06-01T00:49:00Z,13.7,47.5,0.09,0.22
2026-06-01T00:49:30Z,11.98,64.5,0.26,0.06
2026-06-01T00:50:00Z,11.88,64.8,0.25,0.18
2026-06-01T00:50:30Z,10.24,47.8,0.22,0.48
2026-06-01T00:51:00Z,14.2,82.1,0.02,0.12
2026-06-01T00:51:30Z,12.41,94.3,0.16,0.13
2026-06-01T00:52:00Z,10.34,40.0,0.08,0.02
2026-06-01T00:52:30Z,14.83,40.0,0.01,0.25
2026-06-01T00:53:00Z,14.1,73.5,0.01,0.28
2026-06-01T00:53:30Z,12.37,59.3,0.3,0.4
2026-06-01T00:54:00Z,15.7,40.0,0.38,0.37
2026-06-01T00:54:30Z,15.31,63.3,0.1,0.4
2026-06-01T00:55:00Z,13.26,53.5,0.0,0.03
2026-06-01T00:55:30Z,12.18,52.6,0.28,0.39
2026-06-01T00:56:00Z,16.33,40.0,0.39,0.23
2026-06-01T00:56:30Z,14.37,61.4,0.39,0.24
2026-06-01T00:57:00Z,15.29,40.0,0.09,0.4
2026-06-01T00:57:30Z,15.85,58.8,0.04,0.29
2026-06-01T00:58:00Z,14.58,79.0,0.26,0.03
2026-06-01T00:58:30Z,17.32,53.8,0.09,0.22
2026-06-01T00:59:00Z,12.7,42.1,0.23,0.38
2026-06-01T00:59:30Z,12.86,84.7,0.11,0.29
2026-06-01T01:00:00Z,16.51,60.4,0.26,0.28
2026-06-01T01:00:30Z,12.87,67.9,0.15,0.14
2026-06-01T01:01:00Z,12.99,68.0,0.12,0.13
2026-06-01T01:01:30Z,19.24,40.0,0.4,0.14
2026-06-01T01:02:00Z,11.67,40.0,0.04,0.06
2026-06-01T01:02:30Z,15.94,69.2,0.26,0.38
2026-06-01T01:03:00Z,14.86,92.6,0.38,0.4
2026-06-01T01:03:30Z,14.28,64.0,0.12,0.2
2026-06-01T01:04:00Z,16.14,87.6,0.0,0.35
2026-06-01T01:04:30Z,18.64,67.8,0.36,0.14
2026-06-01T01:05:00Z,16.61,88.2,0.2,0.34
2026-06-01T01:05:30Z,15.42,54.2,0.21,0.09
2026-06-01T01:06:00Z,13.9,46.6,0.4,0.3
2026-06-01T01:06:30Z,13.04,50.2,0.13,0.19
2026-06-01T01:07:00Z,12.46,46.3,0.16,0.22
2026-06-01T01:07:30Z,10.6,45.0,0.3,0.02
2026-06-01T01:08:00Z,15.15,76.5,0.23,0.31
2026-06-01T01:08:30Z,11.44,40.0,0.1,0.03
2026-06-01T01:09:00Z,12.9,53.5,0.16,0.32
2026-06-01T01:09:30Z,12.13,98.3,0.31,0.4
2026-06-01T01:10:00Z,12.53,40.0,0.31,0.08
2026-06-01T01:10:30Z,12.63,48.1,0.12,0.44
2026-06-01T01:11:00Z,13.36,71.9,0.16,0.29
2026-06-01T01:11:30Z,12.82,69.9,0.32,0.5
2026-06-01T01:12:00Z,14.46,67.1,0.31,0.43
2026-06-01T01:12:30Z,16.2,47.3,0.08,0.0
2026-06-01T01:13:00Z,12.0,81.9,0.11,0.27
2026-06-01T01:13:30Z,10.3,91.0,0.14,0.25
2026-06-01T01:14:00Z,15.21,50.3,0.31,0.3
2026-06-01T01:14:30Z,13.04,53.1,0.13,0.31
2026-06-01T01:15:00Z,14.31,84.1,0.03,0.48
2026-06-01T01:15:30Z,14.95,71.4,0.36,0.33
2026-06-01T01:16:00Z,12.73,40.7,0.25,0.08
2026-06-01T01:16:30Z,13.96,76.9,0.13,0.27
2026-06-01T01:17:00Z,16.03,79.9,0.37,0.13
2026-06-01T01:17:30Z,14.43,55.9,0.23,0.39
2026-06-01T01:18:00Z,8.27,40.0,0.15,0.02
2026-06-01T01:18:30Z,15.65,75.7,0.04,0.42
2026-06-01T01:19:00Z,13.78,71.7,0.37,0.25
2026-06-01T01:19:30Z,12.67,66.1,0.02,0.04
2026-06-01T01:20:00Z,16.03,40.0,0.13,0.15
2026-06-01T01:20:30Z,17.31,40.0,0.01,0.33
2026-06-01T01:21:00Z,11.6,65.2,0.16,0.39
2026-06-01T01:21:30Z,14.11,64.1,0.02,0.15
2026-06-01T01:22:00Z,13.42,52.2,0.23,0.42
2026-06-01T01:22:30Z,9.16,80.6,0.39,0.21
2026-06-01T01:23:00Z,17.67,61.8,0.19,0.09
2026-06-01T01:23:30Z,11.62,88.1,0.15,0.45
2026-06-01T01:24:00Z,12.92,40.0,0.11,0.48
2026-06-01T01:24:30Z,13.88,40.0,0.11,0.3
2026-06-01T01:25:00Z,14.6,58.9,0.03,0.18
2026-06-01T01:25:30Z,12.95,64.6,0.07,0.12
2026-06-01T01:26:00Z,14.88,54.0,0.28,0.01
2026-06-01T01:26:30Z,13.47,47.5,0.29,0.35
2026-06-01T01:27:00Z,16.59,40.0,0.14,0.38
2026-06-01T01:27:30Z,10.82,80.4,0.37,0.5
2026-06-01T01:28:00Z,14.53,45.2,0.16,0.32
2026-06-01T01:28:30Z,12.39,64.8,0.29,0.11
2026-06-01T01:29:00Z,16.44,65.3,0.15,0.15
2026-06-01T01:29:30Z,12.89,77.2,0.07,0.16
2026-06-01T01:30:00Z,13.39,62.3,0.28,0.21
2026-06-01T01:30:30Z,14.96,75.3,0.31,0.14
2026-06-01T01:31:00Z,13.72,59.2,0.21,0.06
2026-06-01T01:31:30Z,18.23,55.3,0.33,0.3
2026-06-01T01:32:00Z,13.26,63.6,0.39,0.13
2026-06-01T01:32:30Z,17.85,77.7,0.4,0.08
2026-06-01T01:33:00Z,13.45,68.4,0.06,0.21
2026-06-01T01:33:30Z,10.92,46.4,0.05,0.37
2026-06-01T01:34:00Z,11.57,54.4,0.27,0.4
2026-06-01T01:34:30Z,14.83,50.1,0.11,0.24
2026-06-01T01:35:00Z,17.57,57.4,0.17,0.2
2026-06-01T01:35:30Z,12.86,40.0,0.31,0.29
2026-06-01T01:36:00Z,13.02,52.3,0.07,0.02
2026-06-01T01:36:30Z,15.57,91.2,0.21,0.11
2026-06-01T01:37:00Z,12.48,56.8,0.08,0.07
2026-06-01T01:37:30Z,17.42,60.5,0.24,0.25
2026-06-01T01:38:00Z,15.73,52.9,0.36,0.18
2026-06-01T01:38:30Z,10.08,60.1,0.07,0.17
2026-06-01T01:39:00Z,10.83,93.5,0.17,0.22
2026-06-01T01:39:30Z,14.0,77.7,0.24,0.11
2026-06-01T01:40:00Z,16.84,40.0,0.07,0.1
2026-06-01T01:40:30Z,13.3,70.2,0.05,0.11
2026-06-01T01:41:00Z,13.93,50.0,0.03,0.25
2026-06-01T01:41:30Z,14.06,47.5,0.34,0.12
2026-06-01T01:42:00Z,13.54,55.0,0.2,0.48
2026-06-01T01:42:30Z,13.49,40.0,0.25,0.41
2026-06-01T01:43:00Z,14.36,40.0,0.2,0.14
2026-06-01T01:43:30Z,12.48,40.0,0.06,0.37
2026-06-01T01:44:00Z,16.54,49.4,0.18,0.19
