timestamp,http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate
2026-06-01T00:00:00Z,28.1,25.8,23.82,0.0
2026-06-01T00:00:30Z,26.3,20.0,19.54,0.0
2026-06-01T00:01:00Z,26.35,24.6,4.12,0.0
2026-06-01T00:01:30Z,32.07,21.6,9.81,0.21
2026-06-01T00:02:00Z,29.14,51.2,2.0,0.27
2026-06-01T00:02:30Z,30.53,77.0,21.42,0.0
2026-06-01T00:03:00Z,30.56,35.7,19.77,0.24
2026-06-01T00:03:30Z,29.45,30.3,16.19,0.3
2026-06-01T00:04:00Z,26.38,23.9,8.56,0.0
2026-06-01T00:04:30Z,28.54,20.0,24.04,0.22
2026-06-01T00:05:00Z,31.01,79.9,2.0,1.01
2026-06-01T00:05:30Z,31.96,20.0,4.2,0.7
2026-06-01T00:06:00Z,29.56,30.7,6.08,0.0
2026-06-01T00:06:30Z,25.63,20.8,28.65,1.15
2026-06-01T00:07:00Z,33.68,42.6,23.59,0.0
2026-06-01T00:07:30Z,32.63,51.6,17.72,0.1
2026-06-01T00:08:00Z,32.36,20.0,10.26,1.5
2026-06-01T00:08:30Z,28.12,47.7,24.36,0.0
2026-06-01T00:09:00Z,25.66,63.2,29.05,0.52
2026-06-01T00:09:30Z,31.45,20.0,23.86,0.0
2026-06-01T00:10:00Z,35.32,33.3,26.41,0.19
2026-06-01T00:10:30Z,31.48,30.7,23.45,0.44
2026-06-01T00:11:00Z,37.35,29.5,10.49,0.0
2026-06-01T00:11:30Z,22.5,23.2,8.64,0.0
2026-06-01T00:12:00Z,40.95,25.1,25.64,0.0
2026-06-01T00:12:30Z,33.24,33.4,22.29,0.0
2026-06-01T00:13:00Z,25.08,60.2,2.56,1.08
2026-06-01T00:13:30Z,29.56,43.4,24.91,1.42
2026-06-01T00:14:00Z,24.23,41.6,13.35,0.13
2026-06-01T00:14:30Z,38.06,20.0,12.33,0.0
2026-06-01T00:15:00Z,30.99,30.6,19.64,1.26
2026-06-01T00:15:30Z,33.21,50.2,20.88,1.5
2026-06-01T00:16:00Z,30.29,20.9,18.13,0.71
2026-06-01T00:16:30Z,27.02,40.3,28.32,0.06
2026-06-01T00:17:00Z,28.33,20.0,13.29,0.0
2026-06-01T00:17:30Z,26.18,34.6,20.87,0.02
2026-06-01T00:18:00Z,30.72,31.8,9.14,0.0
2026-06-01T00:18:30Z,29.01,38.8,13.88,1.5
2026-06-01T00:19:00Z,33.83,33.6,17.61,0.0
2026-06-01T00:19:30Z,38.2,26.5,10.65,0.0
2026-06-01T00:20:00Z,31.87,43.1,14.34,0.55
